Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,79.756,-43.922,0.0,top
C2,100n,C_0805_2012Metric,89.916,-43.942,180.0,top
C3,100n,C_0805_2012Metric,91.948,-62.992,180.0,top
C4,100n,C_0805_2012Metric,74.041,-55.372,-90.0,top
C5,100n,C_0805_2012Metric,68.834,-49.256,-90.0,top
C6,100u,C_1206_3216Metric,74.168,-49.002,-90.0,top
C7,100u,C_1206_3216Metric,98.806,-52.07,180.0,top
C8,100u,C_1206_3216Metric,71.12,-60.94,-90.0,top
J1,Conn_01x02,PinSocket_1x02_P2.54mm_Vertical,69.596,-53.848,0.0,top
J2,Conn_01x02,PinSocket_1x02_P2.54mm_Vertical,103.398,-36.932,90.0,top
J3,MIC,PinSocket_1x01_P2.54mm_Vertical,69.596,-43.5356,0.0,top
J4,INP,PinSocket_1x01_P2.54mm_Vertical,73.406,-43.5356,0.0,top
J5,OUT,PinSocket_1x01_P2.54mm_Vertical,98.445,-37.059,0.0,top
J6,AudioJack4,Jack_3.5mm_PJ320D_Horizontal,108.398,-55.118,180.0,top
J7,FB,PinSocket_1x01_P2.54mm_Vertical,85.852,-67.9758,0.0,top
J8,USB_B_Micro-Connector,USB_Micro-B_Molex-105017-0001,82.24,-36.0355,180.0,top
R1,100k,R_0805_2012Metric,76.708,-46.716,-90.0,top
R2,1,R_0805_2012Metric,85.598,-46.208,180.0,top
R3,100k,R_0805_2012Metric,76.708,-50.272,-90.0,top
R4,470,R_0805_2012Metric,82.042,-59.67,180.0,top
R5,10k,R_0805_2012Metric,79.756,-53.574,180.0,top
R6,1,R_0805_2012Metric,85.598,-43.922,180.0,top
R7,1,R_0805_2012Metric,95.758,-45.974,180.0,top
R8,1,R_0805_2012Metric,95.758,-48.514,180.0,top
R9,1,R_0805_2012Metric,95.758,-55.372,180.0,top
R10,1,R_0805_2012Metric,95.758,-57.658,180.0,top
RV1,R_Potentiometer,Potentiometer_Bourns_3266W_Vertical,78.994,-59.67,0.0,top
U1,MCP6002-xSN,SOIC-8_3.9x4.9mm_P1.27mm,80.772,-48.748,90.0,top
U2,MCP6002-xSN,SOIC-8_3.9x4.9mm_P1.27mm,90.932,-48.768,-90.0,top
U3,MCP6002-xSN,SOIC-8_3.9x4.9mm_P1.27mm,90.932,-57.912,-90.0,top
U4,ZTS6216,ZTS6216,70.849,-48.24,0.0,top
